Area name,Unemployment_rate_2019,Median_Household_Income_2018
"Scott County, IL",4.7,"55,198"
"Shelby County, IL",3.9,"56,509"
"Stark County, IL",5.7,"52,651"
"Stephenson County, IL",4.4,"47,357"
"Tazewell County, IL",4.4,"61,508"
"Union County, IL",5.7,"49,716"
"Vermilion County, IL",5.1,"44,638"
"Wabash County, IL",3.8,"53,414"
"Warren County, IL",4.1,"53,532"
"Washington County, IL",2.5,"66,937"
"Wayne County, IL",4.8,"50,471"
"White County, IL",3.8,"49,507"
"Whiteside County, IL",4.3,"57,197"
"Will County, IL",3.8,"86,108"
"Williamson County, IL",4.3,"46,187"
"Winnebago County, IL",5.7,"53,795"
"Woodford County, IL",3.7,"72,247"
Indiana,3.3,"55,725"
"Adams County, IN",2.7,"56,693"
"Allen County, IN",3.1,"54,473"
"Bartholomew County, IN",2.5,"63,067"
"Benton County, IN",3.2,"51,649"
"Blackford County, IN",4,"45,161"
"Boone County, IN",2.5,"85,876"
"Brown County, IN",3,"60,944"
"Carroll County, IN",3,"57,092"
"Cass County, IN",3.5,"48,598"
"Clark County, IN",3.3,"56,774"
"Clay County, IN",3.5,"52,699"
"Clinton County, IN",2.7,"51,730"
"Crawford County, IN",4.1,"44,152"
"Daviess County, IN",2.6,"55,434"
"Dearborn County, IN",3.6,"66,502"
"Decatur County, IN",2.9,"57,441"
"DeKalb County, IN",2.8,"58,987"
"Delaware County, IN",3.9,"43,096"
"Dubois County, IN",2.4,"62,126"
"Elkhart County, IN",3.1,"59,251"
"Fayette County, IN",4.7,"47,737"
"Floyd County, IN",3.2,"64,992"
"Fountain County, IN",3.5,"53,493"
"Franklin County, IN",3.4,"62,251"
"Fulton County, IN",3.2,"52,798"
"Gibson County, IN",2.5,"56,960"
"Grant County, IN",3.7,"45,138"
"Greene County, IN",4.1,"46,835"
"Hamilton County, IN",2.5,"101,740"
"Hancock County, IN",2.8,"73,831"
"Harrison County, IN",3.2,"60,379"
"Hendricks County, IN",2.7,"80,834"
"Henry County, IN",3.3,"50,183"
"Howard County, IN",4,"55,365"
"Huntington County, IN",3.3,"53,809"
"Jackson County, IN",2.6,"55,518"
"Jasper County, IN",3.7,"66,720"
"Jay County, IN",3,"48,392"
"Jefferson County, IN",3.4,"51,031"
"Jennings County, IN",3.3,"51,560"
"Johnson County, IN",2.7,"69,880"
"Knox County, IN",3.1,"48,606"
"Kosciusko County, IN",2.8,"57,367"
"LaGrange County, IN",2.8,"67,498"
"Lake County, IN",4.9,"55,280"
"LaPorte County, IN",4.3,"52,095"
"Lawrence County, IN",3.6,"53,187"
"Madison County, IN",3.7,"49,522"
"Marion County, IN",3.3,"48,409"
"Marshall County, IN",3.1,"55,766"
"Martin County, IN",2.6,"55,444"
"Miami County, IN",3.9,"47,624"
"Monroe County, IN",3.3,"48,883"
"Montgomery County, IN",3.1,"53,700"
"Morgan County, IN",3.1,"66,151"
"Newton County, IN",4.1,"53,060"
"Noble County, IN",3.1,"61,341"
"Ohio County, IN",3.5,"58,022"
"Orange County, IN",3.5,"44,968"
"Owen County, IN",4,"49,731"
"Parke County, IN",3.8,"49,639"
"Perry County, IN",3.3,"52,332"
"Pike County, IN",3.3,"54,265"
"Porter County, IN",3.7,"69,298"
"Posey County, IN",2.7,"68,162"
"Pulaski County, IN",3.1,"49,730"
"Putnam County, IN",3.5,"54,718"
"Randolph County, IN",3.7,"46,441"
"Ripley County, IN",3.3,"57,436"
"Rush County, IN",2.7,"53,271"
"St. Joseph County, IN",3.6,"54,674"
"Scott County, IN",3.6,"44,913"
"Shelby County, IN",2.9,"57,193"
"Spencer County, IN",3.1,"56,862"
"Starke County, IN",4.3,"49,972"
"Steuben County, IN",2.7,"58,295"
"Sullivan County, IN",4.3,"47,554"
"Switzerland County, IN",3.3,"47,713"
"Tippecanoe County, IN",2.9,"52,269"
"Tipton County, IN",2.7,"60,896"
"Union County, IN",3.3,"50,300"
"Vanderburgh County, IN",3.1,"50,500"
"Vermillion County, IN",5.2,"49,287"
"Vigo County, IN",4.3,"48,335"
"Wabash County, IN",3.1,"51,487"
"Warren County, IN",3,"60,596"
"Warrick County, IN",2.9,"75,534"
"Washington County, IN",3.3,"44,534"
"Wayne County, IN",3.6,"45,130"
"Wells County, IN",2.7,"60,010"
"White County, IN",2.7,"58,380"
"Whitley County, IN",2.9,"67,758"
Iowa,2.7,"60,071"
"Adair County, IA",2.4,"54,282"
"Adams County, IA",1.7,"51,577"
"Allamakee County, IA",3.5,"53,359"
"Appanoose County, IA",3.6,"44,298"
"Audubon County, IA",2.5,"51,210"
"Benton County, IA",3,"62,799"
"Black Hawk County, IA",3.2,"52,320"
"Boone County, IA",2.4,"63,099"
"Bremer County, IA",2.3,"74,646"
"Buchanan County, IA",2.8,"59,724"
"Buena Vista County, IA",2.1,"52,683"
"Butler County, IA",3.2,"57,971"
"Calhoun County, IA",2.6,"54,865"
"Carroll County, IA",1.9,"60,531"
"Cass County, IA",2.8,"50,356"
"Cedar County, IA",2.5,"67,597"
"Cerro Gordo County, IA",2.7,"51,939"
"Cherokee County, IA",2.5,"56,312"
"Chickasaw County, IA",2.9,"64,190"
"Clarke County, IA",2.9,"52,541"
"Clay County, IA",2.8,"56,338"
"Clayton County, IA",3.7,"53,968"
"Clinton County, IA",3.7,"51,317"
"Crawford County, IA",3.6,"54,828"
"Dallas County, IA",2,"87,267"
"Davis County, IA",2.9,"54,830"
"Decatur County, IA",2.2,"41,101"
"Delaware County, IA",2.4,"61,342"
"Des Moines County, IA",4,"51,805"
"Dickinson County, IA",2.9,"55,603"
"Dubuque County, IA",2.6,"60,367"
"Emmet County, IA",2.6,"51,497"
"Fayette County, IA",3.6,"50,893"
"Floyd County, IA",3.6,"53,811"
"Franklin County, IA",2.3,"59,367"
"Fremont County, IA",2.8,"54,658"
"Greene County, IA",2.4,"51,861"
"Grundy County, IA",2.8,"65,060"
"Guthrie County, IA",3,"60,306"
"Hamilton County, IA",2.9,"56,738"
"Hancock County, IA",2.4,"60,859"
"Hardin County, IA",3.2,"55,303"
"Harrison County, IA",2.4,"60,044"
"Henry County, IA",2.7,"55,856"
"Howard County, IA",2.8,"53,500"
"Humboldt County, IA",2.7,"60,166"
"Ida County, IA",2,"60,312"
"Iowa County, IA",2.2,"64,188"
"Jackson County, IA",3.2,"54,663"
"Jasper County, IA",2.9,"60,378"
"Jefferson County, IA",2.4,"46,715"
"Johnson County, IA",2,"64,387"
"Jones County, IA",3.2,"55,405"
"Keokuk County, IA",3.3,"52,122"
"Kossuth County, IA",2.2,"55,486"
"Lee County, IA",3.9,"48,241"
"Linn County, IA",2.9,"64,878"
"Louisa County, IA",3.1,"49,585"
"Lucas County, IA",2.1,"49,956"
"Lyon County, IA",1.6,"69,048"
"Madison County, IA",3.6,"74,794"
"Mahaska County, IA",2.5,"56,492"
"Marion County, IA",2.1,"63,491"
"Marshall County, IA",4.5,"59,552"
"Mills County, IA",2.3,"64,271"
"Mitchell County, IA",1.7,"59,558"
"Monona County, IA",3,"50,530"
"Monroe County, IA",3.1,"56,541"
"Montgomery County, IA",2.7,"49,966"
"Muscatine County, IA",2.9,"58,465"
"O'Brien County, IA",2.2,"53,147"
"Osceola County, IA",1.9,"60,627"
"Page County, IA",2.6,"54,313"
"Palo Alto County, IA",2.2,"55,322"
"Plymouth County, IA",2.2,"66,360"
"Pocahontas County, IA",1.9,"55,865"
"Polk County, IA",2.8,"68,479"
"Pottawattamie County, IA",2.4,"56,337"
"Poweshiek County, IA",2.7,"56,170"
"Ringgold County, IA",2.9,"48,754"
"Sac County, IA",2.4,"56,698"
"Scott County, IA",3.3,"59,865"
"Shelby County, IA",2.1,"58,862"
"Sioux County, IA",1.9,"70,162"
"Story County, IA",1.9,"57,464"
"Tama County, IA",3.1,"56,954"
"Taylor County, IA",1.9,"47,781"
"Union County, IA",3.2,"49,887"
"Van Buren County, IA",2.7,"47,905"
"Wapello County, IA",3.7,"48,226"
"Warren County, IA",2.5,"78,192"
"Washington County, IA",2.5,"65,849"
"Wayne County, IA",2.6,"46,725"
"Webster County, IA",3.1,"52,093"
"Winnebago County, IA",2.8,"54,433"
"Winneshiek County, IA",2.9,"61,807"
"Woodbury County, IA",2.7,"60,059"
"Worth County, IA",2.8,"58,587"
"Wright County, IA",2.6,"54,802"
Kansas,3.2,"58,150"
"Allen County, KS",3.5,"44,423"
"Anderson County, KS",3.3,"50,646"
"Atchison County, KS",5.2,"49,332"
"Barber County, KS",2.5,"47,634"
"Barton County, KS",3.1,"49,991"
"Bourbon County, KS",4.2,"41,807"
"Brown County, KS",3.2,"47,529"
"Butler County, KS",3.2,"65,953"
"Chase County, KS",2.8,"50,981"
"Chautauqua County, KS",3.9,"41,129"
"Cherokee County, KS",3.4,"44,475"
"Cheyenne County, KS",2.4,"43,274"
"Clark County, KS",2.3,"51,235"
"Clay County, KS",3.2,"52,681"
"Cloud County, KS",3.2,"44,467"
"Coffey County, KS",4.5,"58,371"
"Comanche County, KS",2.6,"46,818"
"Cowley County, KS",3.4,"47,864"
"Crawford County, KS",3.9,"43,852"
"Decatur County, KS",3,"44,774"
"Dickinson County, KS",3.6,"50,605"
"Doniphan County, KS",3.4,"50,949"
"Douglas County, KS",2.9,"57,120"
"Edwards County, KS",2.6,"46,962"
"Elk County, KS",3.7,"37,360"
"Ellis County, KS",2.3,"53,840"
"Ellsworth County, KS",2.8,"50,261"
"Finney County, KS",2.3,"56,206"
"Ford County, KS",2.5,"56,052"
"Franklin County, KS",3.3,"58,033"
"Geary County, KS",4.4,"50,856"
"Gove County, KS",2.1,"49,626"
"Graham County, KS",3.1,"41,906"
"Grant County, KS",2.9,"61,614"
"Gray County, KS",2,"65,771"
"Greeley County, KS",2.3,"51,606"
"Greenwood County, KS",3.2,"43,083"
"Hamilton County, KS",1.9,"51,559"
"Harper County, KS",2.5,"45,570"
"Harvey County, KS",2.9,"57,934"
"Haskell County, KS",2.3,"60,808"
"Hodgeman County, KS",2.4,"54,058"
"Jackson County, KS",2.9,"56,330"
"Jefferson County, KS",3.1,"69,246"
"Jewell County, KS",2.8,"44,271"
"Johnson County, KS",2.8,"87,087"
"Kearny County, KS",2.3,"63,248"
"Kingman County, KS",3.2,"56,005"
"Kiowa County, KS",2.3,"64,399"
"Labette County, KS",4,"44,571"
"Lane County, KS",2.6,"59,240"
"Leavenworth County, KS",3.4,"70,807"
"Lincoln County, KS",2.3,"44,439"
"Linn County, KS",5.9,"47,153"
"Logan County, KS",2,"50,267"
"Lyon County, KS",3.4,"47,982"
"McPherson County, KS",2.2,"58,017"
"Marion County, KS",3,"51,712"
"Marshall County, KS",2.9,"51,066"
"Meade County, KS",2.3,"67,220"
"Miami County, KS",3.3,"71,770"
"Mitchell County, KS",2.4,"51,514"
"Montgomery County, KS",4.1,"42,479"
"Morris County, KS",2.7,"49,287"
"Morton County, KS",2.9,"53,785"
"Nemaha County, KS",2.8,"59,567"
"Neosho County, KS",4.6,"46,176"
"Ness County, KS",2.5,"51,757"
"Norton County, KS",2.2,"47,252"
"Osage County, KS",3.6,"53,864"
"Osborne County, KS",2,"46,101"
"Ottawa County, KS",2.7,"56,451"
"Pawnee County, KS",2.9,"47,039"
"Phillips County, KS",2.6,"47,405"
"Pottawatomie County, KS",2.8,"69,975"
"Pratt County, KS",2.5,"52,567"
"Rawlins County, KS",2.2,"46,638"
"Reno County, KS",3.2,"49,341"
"Republic County, KS",2.6,"48,566"
"Rice County, KS",2.8,"51,686"
"Riley County, KS",2.8,"47,057"
"Rooks County, KS",3.5,"47,365"
"Rush County, KS",2.8,"44,121"
"Russell County, KS",2.9,"45,879"
"Saline County, KS",3,"53,961"
"Scott County, KS",1.9,"63,790"
"Sedgwick County, KS",3.5,"56,381"
"Seward County, KS",3.1,"50,671"
"Shawnee County, KS",3.3,"53,612"
"Sheridan County, KS",2.2,"50,553"
"Sherman County, KS",2.7,"45,966"
"Smith County, KS",2.5,"41,899"
"Stafford County, KS",2.7,"47,835"
"Stanton County, KS",2.5,"60,136"
"Stevens County, KS",2.6,"58,817"
"Sumner County, KS",3.4,"56,946"
"Thomas County, KS",2.3,"55,345"
"Trego County, KS",2.8,"48,520"
"Wabaunsee County, KS",3.2,"59,744"
"Wallace County, KS",2.6,"51,350"
"Washington County, KS",2.6,"48,104"
"Wichita County, KS",2,"59,800"
"Wilson County, KS",4,"45,697"
"Woodson County, KS",4.2,"43,894"
"Wyandotte County, KS",4.3,"47,084"
Kentucky,4.3,"50,189"
"Adair County, KY",5.3,"37,392"
"Allen County, KY",4.2,"44,624"
"Anderson County, KY",3.7,"60,908"
"Ballard County, KY",5.7,"47,658"
"Barren County, KY",4.5,"42,439"
"Bath County, KY",6.2,"44,183"
"Bell County, KY",6.4,"29,362"
"Boone County, KY",3.4,"77,696"
"Bourbon County, KY",3.8,"48,614"
"Boyd County, KY",5.7,"48,020"
"Boyle County, KY",4.7,"47,528"
"Bracken County, KY",4.9,"56,432"
"Breathitt County, KY",7.5,"31,182"
"Breckinridge County, KY",5.3,"47,284"
"Bullitt County, KY",4.1,"61,022"
"Butler County, KY",4.8,"43,048"
"Caldwell County, KY",5,"43,659"
"Calloway County, KY",4.1,"41,873"
"Campbell County, KY",3.5,"60,904"
"Carlisle County, KY",4.2,"41,249"
"Carroll County, KY",4,"47,623"
"Carter County, KY",8.3,"32,906"
"Casey County, KY",4.2,"34,358"
"Christian County, KY",5.6,"40,299"
"Clark County, KY",3.9,"50,162"
"Clay County, KY",7,"28,146"
"Clinton County, KY",5.5,"31,118"
"Crittenden County, KY",4.9,"43,624"
"Cumberland County, KY",4.2,"33,541"
"Daviess County, KY",3.9,"51,441"
"Edmonson County, KY",4.9,"43,151"
"Elliott County, KY",8.2,"35,446"
"Estill County, KY",5,"35,701"
"Fayette County, KY",3.3,"55,358"
"Fleming County, KY",5.4,"42,571"
"Floyd County, KY",6.4,"33,218"
"Franklin County, KY",3.7,"53,134"
"Fulton County, KY",5.7,"32,355"
"Gallatin County, KY",4,"49,060"
"Garrard County, KY",4.6,"51,203"
"Grant County, KY",4.1,"53,965"
"Graves County, KY",4.6,"46,785"
"Grayson County, KY",5,"40,780"
"Green County, KY",4.4,"36,782"
"Greenup County, KY",6.6,"49,457"
"Hancock County, KY",3.8,"56,769"
"Hardin County, KY",4.1,"52,278"
"Harlan County, KY",9.6,"29,521"
"Harrison County, KY",4.3,"51,709"
"Hart County, KY",4.7,"37,038"
"Henderson County, KY",3.8,"51,161"
"Henry County, KY",3.7,"53,405"
"Hickman County, KY",4.8,"44,290"
"Hopkins County, KY",4.6,"45,512"
"Jackson County, KY",6.5,"35,317"
"Jefferson County, KY",4,"55,860"
"Jessamine County, KY",3.6,"59,443"
"Johnson County, KY",6.6,"39,381"
"Kenton County, KY",3.6,"64,644"
"Knott County, KY",6.9,"32,228"
"Knox County, KY",6,"30,742"
"Larue County, KY",4.5,"45,458"
"Laurel County, KY",4.9,"41,425"
"Lawrence County, KY",7.1,"36,667"
"Lee County, KY",5.7,"29,124"
"Leslie County, KY",8.2,"31,921"
"Letcher County, KY",7.4,"32,321"
"Lewis County, KY",8.9,"35,751"
"Lincoln County, KY",5,"42,190"
"Livingston County, KY",5.7,"48,182"
"Logan County, KY",4,"46,742"
"Lyon County, KY",4.7,"48,395"
"McCracken County, KY",4.9,"48,950"
"McCreary County, KY",6,"30,029"
"McLean County, KY",4.4,"48,080"
"Madison County, KY",3.9,"51,897"
"Magoffin County, KY",11,"30,950"
"Marion County, KY",3.9,"45,661"
"Marshall County, KY",4.7,"52,388"
"Martin County, KY",6.9,"28,925"
"Mason County, KY",5.8,"41,807"
"Meade County, KY",4.6,"57,613"
"Menifee County, KY",6.9,"34,002"
"Mercer County, KY",4.6,"53,921"
"Metcalfe County, KY",4.8,"35,906"
"Monroe County, KY",3.9,"35,596"
"Montgomery County, KY",5.3,"46,629"
"Morgan County, KY",5.4,"35,848"
"Muhlenberg County, KY",6.2,"43,722"
"Nelson County, KY",4.5,"55,602"
"Nicholas County, KY",4.4,"41,428"
"Ohio County, KY",5.1,"44,751"
"Oldham County, KY",3.3,"102,136"
"Owen County, KY",4.6,"48,998"
"Owsley County, KY",7,"26,278"
"Pendleton County, KY",3.8,"54,583"
"Perry County, KY",6.1,"33,108"
"Pike County, KY",5.8,"37,124"
"Powell County, KY",5.4,"37,776"
"Pulaski County, KY",4.7,"41,541"
"Robertson County, KY",5.4,"45,146"
"Rockcastle County, KY",4.8,"37,732"
"Rowan County, KY",5.3,"41,196"
"Russell County, KY",5.7,"34,648"
"Scott County, KY",3.5,"73,500"
"Shelby County, KY",3.4,"66,056"
"Simpson County, KY",4.5,"51,769"
"Spencer County, KY",3.6,"85,899"
"Taylor County, KY",4.3,"45,429"
"Todd County, KY",3.9,"51,027"
"Trigg County, KY",4.7,"49,767"
"Trimble County, KY",4.4,"51,674"
"Union County, KY",4.5,"47,067"
"Warren County, KY",3.9,"53,478"
"Washington County, KY",3.9,"50,246"
"Wayne County, KY",5.8,"33,701"
"Webster County, KY",4,"47,132"
"Whitley County, KY",5.2,"36,863"
"Wolfe County, KY",7.1,"30,144"
"Woodford County, KY",3.1,"66,164"
Louisiana,4.8,"48,021"
"Acadia Parish, LA",5.3,"40,484"
"Allen Parish, LA",5.7,"44,395"
"Ascension Parish, LA",4.1,"77,758"
"Assumption Parish, LA",6.1,"48,120"
"Avoyelles Parish, LA",5.8,"37,731"
"Beauregard Parish, LA",5.2,"57,005"
"Bienville Parish, LA",5.9,"34,047"
"Bossier Parish, LA",4.3,"56,754"
"Caddo Parish, LA",5.4,"40,467"
"Calcasieu Parish, LA",4.1,"50,531"
"Caldwell Parish, LA",6.1,"40,842"
"Cameron Parish, LA",3.8,"57,299"
"Catahoula Parish, LA",6.4,"35,812"
"Claiborne Parish, LA",5.7,"33,659"
"Concordia Parish, LA",6.5,"35,840"
"De Soto Parish, LA",6,"44,457"
"East Baton Rouge Parish, LA",4.4,"52,945"
"East Carroll Parish, LA",10.6,"27,714"
"East Feliciana Parish, LA",4.6,"45,174"
"Evangeline Parish, LA",5.9,"34,113"
"Franklin Parish, LA",7.2,"34,446"
"Grant Parish, LA",5.8,"43,502"
"Iberia Parish, LA",5.4,"42,909"
"Iberville Parish, LA",5.9,"47,917"
"Jackson Parish, LA",4.7,"40,828"
"Jefferson Parish, LA",4.2,"50,871"
"Jefferson Davis Parish, LA",4.7,"44,492"
"Lafayette Parish, LA",4.3,"57,821"
"Lafourche Parish, LA",4.5,"52,651"
"LaSalle Parish, LA",4.3,"45,742"
"Lincoln Parish, LA",5.4,"36,525"
"Livingston Parish, LA",4.1,"63,088"
"Madison Parish, LA",8.1,"28,452"
"Morehouse Parish, LA",8.3,"34,023"
"Natchitoches Parish, LA",6,"36,298"
"Orleans Parish, LA",4.9,"38,855"
"Ouachita Parish, LA",5.3,"44,371"
"Plaquemines Parish, LA",4.3,"58,643"
"Pointe Coupee Parish, LA",5.4,"46,603"
"Rapides Parish, LA",5.1,"48,116"
"Red River Parish, LA",5.1,"36,865"
"Richland Parish, LA",6.3,"35,103"
"Sabine Parish, LA",5.1,"36,423"
"St. Bernard Parish, LA",4.9,"43,983"
"St. Charles Parish, LA",4.3,"67,585"
"St. Helena Parish, LA",6.1,"38,699"
"St. James Parish, LA",6,"53,903"
"St. John the Baptist Parish, LA",5.6,"50,830"
"St. Landry Parish, LA",6.3,"36,624"
"St. Martin Parish, LA",5.1,"46,229"
"St. Mary Parish, LA",5.9,"39,764"
"St. Tammany Parish, LA",4.2,"67,054"
"Tangipahoa Parish, LA",5.5,"47,128"
"Tensas Parish, LA",8.3,"28,962"
"Terrebonne Parish, LA",4.6,"51,665"
"Union Parish, LA",5.8,"43,584"
"Vermilion Parish, LA",5.1,"48,263"
"Vernon Parish, LA",6.2,"47,664"
"Washington Parish, LA",5.9,"36,850"
"Webster Parish, LA",6.1,"35,070"
"West Baton Rouge Parish, LA",4.5,"58,205"
"West Carroll Parish, LA",10.7,"39,332"
"West Feliciana Parish, LA",4.1,"60,296"
"Winn Parish, LA",6.3,"40,133"
Maine,3,"55,579"
"Androscoggin County, ME",3,"49,935"
"Aroostook County, ME",4.6,"39,450"
"Cumberland County, ME",2.4,"71,586"
"Franklin County, ME",3.8,"49,561"
"Hancock County, ME",3.5,"52,148"
"Kennebec County, ME",2.9,"52,154"
"Knox County, ME",2.9,"56,678"
"Lincoln County, ME",3,"56,211"
"Oxford County, ME",3.6,"44,243"
"Penobscot County, ME",3.2,"47,840"
"Piscataquis County, ME",3.7,"40,066"
"Sagadahoc County, ME",2.3,"65,969"
"Somerset County, ME",4.5,"43,755"
"Waldo County, ME",3.2,"49,482"
"Washington County, ME",4.6,"39,522"
"York County, ME",2.7,"65,984"
Maryland,3.6,"83,076"
"Allegany County, MD",5.2,"43,535"
"Anne Arundel County, MD",3.1,"97,051"
"Baltimore County, MD",3.7,"75,836"
"Calvert County, MD",3.2,"106,270"
"Caroline County, MD",3.6,"56,627"
"Carroll County, MD",2.9,"95,956"
"Cecil County, MD",4,"72,739"
"Charles County, MD",3.6,"92,616"
"Dorchester County, MD",4.8,"48,682"
"Frederick County, MD",3.2,"95,196"
"Garrett County, MD",4.4,"49,147"
"Harford County, MD",3.3,"87,959"
"Howard County, MD",2.7,"116,719"
"Kent County, MD",4,"55,514"
"Montgomery County, MD",2.9,"107,758"
"Prince George's County, MD",3.8,"82,445"
"Queen Anne's County, MD",3.1,"93,751"
"St. Mary's County, MD",3.3,"89,964"
"Somerset County, MD",6.1,"42,098"
"Talbot County, MD",3.4,"64,245"
"Washington County, MD",3.9,"62,556"
"Wicomico County, MD",4.6,"54,313"
"Worcester County, MD",7.4,"59,266"
"Baltimore city, MD",5.1,"50,501"
Massachusetts,2.9,"79,817"
"Barnstable County, MA",3.9,"69,001"
"Berkshire County, MA",3.5,"58,375"
"Bristol County, MA",3.7,"66,005"
"Dukes County, MA",4.1,"70,224"
"Essex County, MA",3,"76,373"
"Franklin County, MA",2.7,"58,992"
"Hampden County, MA",4.1,"52,682"
"Hampshire County, MA",2.7,"74,456"
"Middlesex County, MA",2.3,"100,374"
"Nantucket County/town, MA",4.2,"97,525"
"Norfolk County, MA",2.5,"100,184"
"Plymouth County, MA",3,"89,678"
"Suffolk County, MA",2.6,"68,743"
"Worcester County, MA",3.1,"71,767"
Michigan,4.1,"56,640"
"Alcona County, MI",6.3,"39,862"
"Alger County, MI",7.8,"47,441"
"Allegan County, MI",3.1,"62,247"
"Alpena County, MI",4.7,"42,792"
"Antrim County, MI",5.1,"56,456"
"Arenac County, MI",6.6,"42,540"
"Baraga County, MI",6.3,"43,435"
"Barry County, MI",3.2,"64,121"
"Bay County, MI",4.7,"50,576"
"Benzie County, MI",5.1,"51,905"
"Berrien County, MI",4,"51,509"
"Branch County, MI",3.9,"50,477"
"Calhoun County, MI",4.1,"48,413"
"Cass County, MI",4.3,"55,978"
"Charlevoix County, MI",4.6,"54,491"
"Cheboygan County, MI",8.7,"48,589"
"Chippewa County, MI",6.3,"47,380"
"Clare County, MI",6.1,"39,394"
"Clinton County, MI",3,"70,967"
"Crawford County, MI",5.6,"46,930"
"Delta County, MI",5.2,"49,292"
"Dickinson County, MI",4.2,"52,348"
"Eaton County, MI",3.4,"66,716"
"Emmet County, MI",5.4,"58,891"
"Genesee County, MI",4.9,"48,370"
"Gladwin County, MI",5.7,"44,635"
"Gogebic County, MI",5.2,"39,934"
"Grand Traverse County, MI",3.4,"64,591"
"Gratiot County, MI",4.4,"48,988"
"Hillsdale County, MI",4.2,"50,388"
"Houghton County, MI",4.9,"42,282"
"Huron County, MI",4.4,"45,817"
"Ingham County, MI",3.5,"52,837"
"Ionia County, MI",3.4,"61,667"
"Iosco County, MI",6,"41,256"
"Iron County, MI",5.5,"40,959"
"Isabella County, MI",3.8,"47,056"
"Jackson County, MI",3.8,"52,047"
"Kalamazoo County, MI",3.3,"55,881"
"Kalkaska County, MI",5.6,"46,068"
"Kent County, MI",2.9,"61,675"
"Keweenaw County, MI",6.9,"51,641"
"Lake County, MI",6.4,"36,044"
"Lapeer County, MI",5.4,"65,209"
"Leelanau County, MI",3.7,"67,349"
"Lenawee County, MI",3.9,"55,762"
"Livingston County, MI",3.3,"84,048"
"Luce County, MI",6.2,"43,196"
"Mackinac County, MI",9.3,"46,645"
"Macomb County, MI",4.2,"62,191"
"Manistee County, MI",5.5,"47,401"
"Marquette County, MI",4.8,"54,093"
"Mason County, MI",4.9,"51,083"
"Mecosta County, MI",4.7,"45,804"
"Menominee County, MI",4,"46,486"
"Midland County, MI",3.7,"58,057"
"Missaukee County, MI",4.8,"48,413"
"Monroe County, MI",3.9,"62,522"
"Montcalm County, MI",4.1,"50,396"
"Montmorency County, MI",8.3,"40,650"
"Muskegon County, MI",4.3,"49,960"
"Newaygo County, MI",4.2,"48,860"
"Oakland County, MI",3.4,"80,319"
"Oceana County, MI",5.9,"50,374"
"Ogemaw County, MI",6.7,"41,201"
"Ontonagon County, MI",6.8,"40,798"
"Osceola County, MI",4,"45,607"
"Oscoda County, MI",6.9,"38,927"
"Otsego County, MI",4.9,"51,292"
"Ottawa County, MI",2.8,"70,420"
"Presque Isle County, MI",7.6,"45,502"
"Roscommon County, MI",7.5,"38,613"
"Saginaw County, MI",4.8,"48,805"
"St. Clair County, MI",4.9,"56,557"
"St. Joseph County, MI",4.3,"52,689"
"Sanilac County, MI",4.7,"46,184"
"Schoolcraft County, MI",7,"44,887"
"Shiawassee County, MI",4.3,"54,149"
"Tuscola County, MI",5.1,"51,113"
"Van Buren County, MI",4.6,"57,363"
"Washtenaw County, MI",2.9,"72,267"
"Wayne County, MI",5.1,"46,440"
"Wexford County, MI",4.5,"46,396"
Minnesota,3.2,"70,295"
"Aitkin County, MN",6.2,"44,016"
"Anoka County, MN",3.1,"82,284"
"Becker County, MN",4,"59,440"
"Beltrami County, MN",4.3,"47,073"
"Benton County, MN",3.9,"61,341"
"Big Stone County, MN",4.2,"51,058"
"Blue Earth County, MN",2.8,"58,132"
"Brown County, MN",3.6,"60,626"
"Carlton County, MN",4.5,"60,412"
"Carver County, MN",2.8,"104,248"
"Cass County, MN",5.5,"48,651"
"Chippewa County, MN",3.9,"53,540"
"Chisago County, MN",3.8,"82,814"
"Clay County, MN",3,"65,914"
"Clearwater County, MN",8.2,"51,475"
"Cook County, MN",4.3,"54,465"
"Cottonwood County, MN",3.7,"51,788"
"Crow Wing County, MN",4.3,"53,481"
"Dakota County, MN",2.9,"86,403"
"Dodge County, MN",3.4,"75,955"
"Douglas County, MN",3.2,"60,979"
"Faribault County, MN",4.2,"52,560"
"Fillmore County, MN",3.3,"58,761"
"Freeborn County, MN",3.4,"52,010"
"Goodhue County, MN",3,"67,039"
"Grant County, MN",4.5,"54,917"
"Hennepin County, MN",2.8,"76,067"
"Houston County, MN",3.2,"59,613"
"Hubbard County, MN",5.4,"55,687"
"Isanti County, MN",4.1,"73,468"
"Itasca County, MN",6,"53,143"
"Jackson County, MN",3.4,"57,786"
"Kanabec County, MN",5.9,"56,950"
"Kandiyohi County, MN",3.5,"60,579"
"Kittson County, MN",3.6,"54,438"
"Koochiching County, MN",6.4,"46,281"
"Lac qui Parle County, MN",3.7,"52,445"
"Lake County, MN",3.6,"61,015"
"Lake of the Woods County, MN",4.1,"52,058"
"Le Sueur County, MN",4.5,"67,269"
"Lincoln County, MN",3.8,"51,305"
"Lyon County, MN",3.2,"57,690"
"McLeod County, MN",3.7,"61,959"
"Mahnomen County, MN",4.7,"43,162"
"Marshall County, MN",5.9,"58,105"
"Martin County, MN",3.8,"50,821"
"Meeker County, MN",3.9,"66,557"
"Mille Lacs County, MN",5.4,"53,289"
"Morrison County, MN",5.2,"57,471"
"Mower County, MN",3,"53,387"
